comunicazione interlinguistica applicata alle professioni giuridiche, 9
comunicazione interlinguistica applicata, 41
scienze umanistiche della comunicazione, 1
beni culturali, 5
lingue, 3
scienze dei beni culturali, 3
lettere, 31
scienze umanistiche per la comunicazione, 9
editoria, 2
lingue e letterature straniere, 16
interpretazione, 5
lettere moderne, 25
beni culturali e turismo, 3
interpretariato e comunicazione, 1
elena nava, 1
mediazione linguistica interculturale, 8
traduzione specialistica e interpretazione, 16
lettere - italianistica, 1
filologia e letteratura italiana, 2
storia, 4
lm in interpretazione, 1
lingue e letterature europee e americane, 1
filologia, 2
scienze della comunicazione e del testo letterario, 1
beni culturali , 1
filosofia, 9
lingue straniere moderne, 6
lettere-scienze dei testi letterari e della comunicazione, 1
specialized translation, 2
comunicazione interlinguistica applicata alle professioni giudiche, 1
lingue moderne, 2
scienze della formazione primaria, 1
culture moderne comparate, 1
scienze del testo e della comunicazione letteraria, 1
lettere e beni culturali, 2
lettere - scienze del testo letterario e della comunicazione, 1
comunicazione e culture dei media, 1
lettere classiche, 5
filologia moderna, 2
filosofia e scienze umane, 1
lingue e letterature europee ed extra-europee, 1
antropologia ed etnografia, 1
traduzione specialistica, 2
scienze dell'antichità, 1
lettere antiche, 1
scienze e tecniche psicologiche, 2
lettere antiche e moderne, 1
studi letterari storico artistici, 1
scienza e tecnica della mediazione linguistica, 2
lettere e filosofia, 1
scienze filosofiche, 1
mediazione linguistica, 1
conservazione dei beni culturali, 2
filologia moderna. scienze della letteratura, 1
filosofia e comunicazione, 1
conservazione e gestione dei beni e delle attività culturali, 1
scienze storiche e della documentazione storica, 1
comunicazione pubblica e d'impresa, 1
laurea triennale in lettere - patrimonio culturale, 1
lettere moderne indirizzo storico artistico, 1
studi letterari e storico arrostistici, 1
scienze della comunicazione, 1
scienze umanistiche. discipline letterarie artistiche e filosofiche, 1
lingue nella società dell’informazione, 1
letteratura, 2
italianistica, 1
storia e tutela dei beni archeologici, 1
traduzione e mediazione culturale, 1
letterature, 1
